user_id,module,action,ip_address,details,id,created_at,updated_at,is_deleted
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",41,2025-12-03 15:10:48.618568,2025-12-03 15:10:48.618572,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",42,2025-12-03 15:10:54.687487,2025-12-03 15:10:54.687490,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",43,2025-12-03 15:11:26.649048,2025-12-03 15:11:26.649057,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",44,2025-12-03 15:14:00.781970,2025-12-03 15:14:00.781975,0
1,auth,logout,127.0.0.1,"{""username"": ""Constantine Myles""}",45,2025-12-03 15:16:46.098697,2025-12-03 15:16:46.098702,0
1,auth,login_success,127.0.0.1,"{""username"": ""Constantine Myles""}",46,2025-12-03 15:21:24.681340,2025-12-03 15:21:24.681344,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 3}""}",47,2025-12-03 15:24:17.034969,2025-12-03 15:24:17.034974,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'csv'}""}",48,2025-12-03 15:54:07.672536,2025-12-03 15:54:07.672544,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",49,2025-12-03 15:54:27.607311,2025-12-03 15:54:27.607314,0
1,inventory,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'csv'}""}",50,2025-12-03 15:59:19.982758,2025-12-03 15:59:19.982762,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",51,2025-12-03 16:02:17.469007,2025-12-03 16:02:17.469013,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 11}""}",52,2025-12-03 16:02:48.364821,2025-12-03 16:02:48.364825,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",53,2025-12-03 16:05:59.784015,2025-12-03 16:05:59.784020,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",54,2025-12-03 16:07:05.631063,2025-12-03 16:07:05.631067,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",55,2025-12-03 16:09:44.135016,2025-12-03 16:09:44.135020,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 6781}""}",56,2025-12-03 16:15:40.509792,2025-12-03 16:15:40.509798,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 6781}""}",57,2025-12-03 16:16:50.426119,2025-12-03 16:16:50.426124,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 3033}""}",58,2025-12-03 16:17:28.085039,2025-12-03 16:17:28.085048,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",59,2025-12-03 16:22:07.191768,2025-12-03 16:22:07.191776,0
1,sales,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'csv'}""}",60,2025-12-03 16:33:09.095123,2025-12-03 16:33:09.095128,0
1,sales,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'excel'}""}",61,2025-12-03 16:33:32.180231,2025-12-03 16:33:32.180236,0
1,inventory,edit,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'product_id': 1}""}",62,2025-12-03 16:37:51.756213,2025-12-03 16:37:51.756220,0
1,sales,export,127.0.0.1,"{""args"": ""()"", ""kwargs"": ""{'format': 'csv'}""}",63,2025-12-03 16:39:56.444956,2025-12-03 16:39:56.444959,0
